"","Bogota","Cali","Medellin","Barranquilla","Cartagena","Cucuta","Bucaramanga","Pereira","Santa.Marta","Ibague","Pasto","Manizales","Neiva"
"Bogota",0,350821.381007752,317481.984108527,764532.987984496,797114.67131783,453870.425968992,309904.848449612,243983.768217054,733466.731782946,146238.718217054,578893.164341085,240195.200387597,228071.783333333
"Cali",349305.953875969,0,333393.968992248,866824.319379845,831969.495348837,745590.148837209,594805.149224806,162908.416666667,932745.399612403,207613.517054264,297781.431395349,203067.235658915,289446.582170543
"Medellin",317481.984108527,332636.255426357,0,533430.350387597,499333.239922481,448566.431007752,297023.717829457,169727.83875969,602382.284883721,273534.597286822,618294.269767442,158362.135271318,447051.003875969
"Barranquilla",762259.847286822,863035.751550388,531914.923255814,0,92441.0550387597,506910.375581395,486452.109302326,700127.334883721,77286.7837209302,750894.14379845,1149451.47945736,689519.34496124,892586.580620155
"Cartagena",816815.224031008,828938.641085271,497060.099224806,93956.4821705426,0,560708.03875969,540249.77248062,666030.224418605,170485.552325581,769079.269379845,1114596.65542636,654664.520930233,946384.24379845
"Cucuta",451597.285271318,744074.721705426,447051.003875969,506910.375581395,561465.752325581,0,151542.713178295,581166.30503876,475844.119379845,534188.063953488,1025944.16821705,544038.340310078,675122.787209302
"Bucaramanga",308389.421317829,593289.722093023,296266.004263566,487209.822868217,541765.199612403,152300.426744186,0,430381.305426357,456143.566666667,383403.064341085,875159.168604651,393253.340697674,524337.787596899
"Pereira",243226.054651163,163666.130232558,171243.265891473,704673.61627907,669818.792248062,583439.445736434,431896.73255814,0,770594.696511628,101533.617829457,449324.144573643,40916.5325581395,254591.758139535
"Santa Marta",731951.304651163,931229.97248062,600866.857751938,76529.0701550388,168970.125193798,476601.832945736,456143.566666667,768321.555813954,0,720585.601162791,1212341.70542636,730435.87751938,862278.037984496
"Ibague",145481.004651163,208371.230620155,274292.310852713,751651.857364341,784233.540697674,534188.063953488,382645.350775194,100775.904263566,720585.601162791,0,506910.375581395,143965.57751938,156088.994573643
"Pasto",577377.737209302,296266.004263566,619051.983333333,1151724.62015504,1117627.50968992,1025186.45465116,874401.45503876,448566.431007752,1212341.70542636,507668.089147287,0,487967.536434109,351579.094573643
"Manizales",237922.059689922,202309.522093023,158362.135271318,691034.772093023,656937.661627907,544038.340310078,392495.627131783,39401.1054263566,730435.87751938,142450.150387597,487967.536434109,0,296266.004263566
"Neiva",227314.069767442,288688.868604651,428108.164728682,893344.294186046,925168.263953488,675122.787209302,523580.074031008,254591.758139535,862278.037984496,156846.708139535,352336.808139535,297781.431395349,0
