"","Bogota","Cali","Medellin","Barranquilla","Cartagena","Cucuta","Bucaramanga","Pereira","Santa Marta","Ibague","Pasto","Manizales","Neiva"
"Bogota",0,361925.445083333,262810.677283333,584676.170916667,614344.65815,301176.75785,244064.28595,264154.773083333,523767.006233333,167357.679083333,520448.52875,146073.679916667,228171.359233333
"Cali",356731.67835,0,330387.891333333,779820.961333333,783989.448566667,568161.491516667,441421.70295,144583.404483333,696403.661233333,175742.2147,193372.865233333,197047.1417,193884.527566667
"Medellin",262908.423516667,330378.99145,0,461341.945383333,456008.71345,348705.270266667,221966.937083333,184095.28555,460724.645283333,261494.22525,504104.764533333,160821.958433333,354058.59925
"Barranquilla",610423.019533333,785956.80085,466623.667816667,0,93896.9690833333,406218.117566667,381176.471933333,670374.814116667,85071.9776833333,578606.9342,969182.573933333,647101.487,682458.723533333
"Cartagena",630503.593833333,786109.949133333,456054.524166667,88974.3551333333,0,432498.073333333,407456.163916667,624426.243233333,184084.411466667,603037.79055,963134.722216667,619752.652333333,706887.860716667
"Cucuta",299859.487433333,583224.401633333,346691.2686,403964.37285,435006.818533333,0,123083.631516667,526542.4149,321638.123366667,409450.987316667,846550.174716667,409967.368616667,508914.871066667
"Bucaramanga",242248.047016667,458501.091,221966.2388,377287.570966667,408330.01665,124826.499733333,0,404517.3851,294961.321483333,287425.957516667,724526.864083333,287944.057983333,391277.74685
"Pereira",259752.810183333,145069.191416667,184248.760133333,664381.56635,622450.053583333,511174.928066667,387136.594883333,0,642565.985416667,78663.3465333333,318794.9645,53822.7905,201305.923183333
"Santa Marta",533350.795483333,697966.899016667,461433.765983333,84044.68095,182559.957633333,329145.893516667,304103.9841,643983.193116667,0,561717.032366667,963992.6721,527409.866,665567.102533333
"Ibague",168694.8454,181424.270766667,267546.113133333,572620.392733333,602288.879966667,391939.645666667,267901.576266667,83553.5987666667,511711.491833333,0,371448.324683333,153420.407283333,126547.694616667
"Pasto",529225.667983333,192144.734783333,502781.880966667,961714.950966667,959682.174416667,830155.48115,706115.4288,316977.394116667,961097.650866667,364436.204333333,0,369441.131333333,231941.8947
"Manizales",146148.340533333,196551.311383333,160953.348416667,641086.418416667,617754.90565,381661.92425,257623.591066667,53819.9346333333,525969.118316667,147518.874333333,370277.084466667,0,253861.1872
"Neiva",228458.740833333,199599.888833333,355108.154683333,676971.92915,706640.416383333,496291.182083333,372253.112683333,206229.216833333,616064.747416667,125731.85905,233667.47295,259796.02535,0
