Bogota,Cali,Medellin,Barranquilla,Cartagena,Cucuta,Bucaramanga,Pereira,Santa Marta,Ibague,Pasto,Manizales,Neiva
0,458.065,417.481,1031.865,980.257,568.423,397.691,316.705,978.599,201.485,779.875,292.735,315.252
447.22,0,436.69,1191.808,1140.2,959.483,760.553,208.947,1276.962,252.616,381.282,260.576,457.452
417.643,435.425,0,758.41,706.802,581.519,381.728,239.273,844.432,349.538,808.73,222.522,585.265
1051.674,1209.263,775.782,0,141.135,786.102,696.208,1013.012,105.143,1057.216,1582.568,996.36,1219.296
981.077,1136.174,705.3,128.704,0,712.4,622.505,940.022,234.794,986.619,1509.479,923.27,1148.699
567.848,1012.325,578.943,768.323,712.656,0,197.783,816.273,653.014,712.503,1385.73,704.646,874.583
397.323,815.781,382.299,678.754,623.087,198.492,0,619.629,563.444,515.859,1189.086,508.002,677.939
306.901,209.055,240.304,995.421,943.813,755.092,556.162,0,1081.443,112.296,582.36,53.34,317.133
945.77,1277.833,844.352,102.741,225.704,647.136,557.241,1081.682,0,979.027,1651.139,1064.831,1141.107
201.419,261.148,359.844,1032.582,980.974,707.62,508.691,119.788,979.317,0,634.453,172.881,211.651
823.284,385.581,812.754,1567.004,1515.395,1335.547,1136.617,585.011,1653.894,628.68,0,636.64,466.866
292.816,258.579,223.365,978.483,926.875,705.515,506.585,53.264,1064.505,163.53,631.884,0,368.366
313.357,467.14,585.353,1199.737,1148.129,874.775,675.846,325.78,1146.472,210.559,467.151,378.873,0
